D, Z, AEdAO, PdD, P_B, n,etaO,etaR, iteration, population i 
0.800000,5,0.871837,0.698004,83.012176,703.845060,0.380026,1.030465,5,20
0.800000,7,0.964889,0.924274,85.337263,562.358698,0.374899,1.016153,5,21
0.786614,5,0.765983,1.106457,0.000000,0.000000,0.000000,0.000000,5,22
0.766154,7,0.824704,1.020889,0.000000,0.000000,0.000000,0.000000,5,23
0.795853,5,1.050000,0.706006,85.603744,710.492698,0.368681,1.029959,5,24
0.773339,5,1.050000,0.754688,87.189430,710.996203,0.362903,1.026880,5,25
0.793823,3,0.759515,0.692331,87.569727,747.685609,0.360086,1.030824,5,26
0.796111,7,1.036947,1.116114,88.522450,503.460781,0.365728,1.004019,5,27
0.795853,7,0.822921,0.773852,83.760138,640.371802,0.378386,1.025668,5,28
0.800000,3,0.557110,0.658976,0.000000,0.000000,0.000000,0.000000,5,29
0.768112,6,1.016594,0.630351,88.149181,810.979547,0.356176,1.034744,5,30
best fit at iteration 5,88.149181
0.765023,7,0.895175,0.892040,87.489695,624.943558,0.364684,1.018192,6,1
0.800000,4,1.050000,0.635354,89.361162,780.828983,0.351688,1.034427,6,2
0.784498,4,0.851358,0.729238,85.949481,719.722773,0.367659,1.028489,6,3
0.760140,6,0.717944,0.685325,85.161554,765.654317,0.369871,1.031267,6,4
0.800000,5,0.761501,0.790679,82.626527,644.651512,0.384001,1.024603,6,5
0.800000,7,0.767348,0.778275,83.111680,632.008051,0.381466,1.025388,6,6
0.755601,5,0.689532,0.531856,87.760914,934.683377,0.355542,1.040974,6,7
0.800000,7,0.917655,0.747154,84.304373,651.025365,0.375357,1.027356,6,8
0.800000,3,0.916727,0.769617,88.901271,681.269585,0.356423,1.025935,6,9
0.800000,7,0.908250,0.838355,84.252670,600.608459,0.377708,1.021588,6,10
0.768112,4,0.965149,0.699087,88.798710,773.774721,0.355077,1.030396,6,11
0.800000,7,0.682173,0.640701,84.095359,720.717003,0.373827,1.034089,6,12
0.792716,5,0.668660,0.504946,85.847836,886.906157,0.363155,1.042676,6,13
0.713357,4,0.771618,0.673089,91.737300,904.543702,0.342760,1.032041,6,14
0.800000,6,1.050000,0.909483,85.686866,576.506293,0.373023,1.017089,6,15
0.725022,6,0.785795,0.705172,88.644882,819.530803,0.355494,1.030012,6,16
0.800000,4,0.895918,0.661220,85.581572,748.036945,0.367808,1.032791,6,17
0.800000,3,0.942538,0.636516,91.322325,791.117450,0.344172,1.034354,6,18
0.800000,7,0.751058,0.550726,86.335398,803.604883,0.362145,1.039780,6,19
0.800000,5,0.871837,0.698004,83.012176,703.845060,0.380026,1.030465,6,20
0.800000,3,0.964889,0.500000,0.000000,0.000000,0.000000,0.000000,6,21
0.786614,2,1.050000,1.020252,92.944541,568.593678,0.346188,1.010083,6,22
0.796683,7,0.824704,0.889231,84.079468,582.220403,0.379652,1.018370,6,23
0.800000,6,0.922734,0.761600,83.243193,651.454773,0.380472,1.026442,6,24
0.773339,7,0.724880,0.754688,0.000000,0.000000,0.000000,0.000000,6,25
0.735871,7,0.759515,0.692331,88.821330,796.005754,0.354611,1.030824,6,26
0.765023,7,1.036947,1.116114,0.000000,0.000000,0.000000,0.000000,6,27
0.795853,7,0.890974,0.629721,85.335518,743.271570,0.368122,1.034784,6,28
0.800000,5,1.050000,0.639814,86.658548,760.829319,0.362749,1.034145,6,29
0.768112,5,1.016594,0.630351,88.869079,825.505041,0.353286,1.034744,6,30
best fit at iteration 6,88.149181
0.765023,7,0.895175,0.718825,87.057578,724.945091,0.362587,1.029148,7,1
0.800000,5,0.705392,0.697154,81.713611,701.570238,0.386047,1.030519,7,2
0.786614,5,0.851358,0.795217,84.333343,661.634234,0.376232,1.024316,7,3
0.784438,7,0.717944,0.814803,0.000000,0.000000,0.000000,0.000000,7,4
0.787985,5,0.761501,0.872000,0.000000,0.000000,0.000000,0.000000,7,5
0.760140,6,0.767348,0.778275,85.544568,703.347224,0.370321,1.025388,7,6
0.800000,5,0.692571,0.594822,82.440905,781.292237,0.380260,1.036991,7,7
0.800000,7,0.759515,0.747154,83.151903,649.740531,0.380565,1.027356,7,8
0.800000,7,0.916727,0.941400,84.967676,555.792229,0.376928,1.015070,7,9
0.800000,7,0.908250,0.641797,85.007838,726.923221,0.369862,1.034020,7,10
0.765023,4,0.827294,0.824559,88.520100,690.999790,0.358914,1.022460,7,11
0.796111,7,0.682173,1.172321,0.000000,0.000000,0.000000,0.000000,7,12
0.781543,5,0.708324,0.500000,87.559947,920.322918,0.355867,1.042989,7,13
0.800000,6,0.771618,0.727154,82.055278,671.040243,0.385161,1.028621,7,14
0.800000,6,0.620930,0.681174,0.000000,0.000000,0.000000,0.000000,7,15
0.725022,3,0.785795,0.533828,0.000000,0.000000,0.000000,0.000000,7,16
0.789291,7,0.895918,0.938972,85.689519,570.759614,0.373610,1.015224,7,17
0.800000,5,0.942538,0.775624,83.772380,653.523841,0.378395,1.025555,7,18
0.776929,5,0.745768,0.708816,83.863127,731.881534,0.376275,1.029781,7,19
0.768112,5,0.871837,0.698004,85.677632,757.457353,0.367980,1.030465,7,20
0.800000,7,0.948063,0.924274,85.142873,562.374708,0.375734,1.016153,7,21
0.786614,2,1.050000,0.733567,96.683313,743.694733,0.326921,1.028216,7,22
0.778672,7,1.044350,0.889231,88.087650,606.649165,0.362239,1.018370,7,23
0.800000,7,0.922734,0.761600,84.326437,642.282933,0.375582,1.026442,7,24
0.800000,7,1.050000,0.748607,86.119368,653.134890,0.367465,1.027264,7,25
0.793823,3,0.759515,0.904069,0.000000,0.000000,0.000000,0.000000,7,26
0.796111,7,0.592316,1.116114,0.000000,0.000000,0.000000,0.000000,7,27
0.800000,7,0.822921,0.769953,83.431311,636.590771,0.379807,1.025914,7,28
