D,AEdAO,PdD,Z,P_B,n,fitness,t075dD,tmin075dD,tal07R,cavLim,Vtip,Vtipmax,penalty,valid
0.784246,0.902194,0.823769,6.0,110.151115,696.585886,110.151115,,,,,,,,1.0
0.800000,1.047044,1.179366,3.0,0.0,0.0,0.0,,,,,,,,1.0
0.780209,0.80779,0.646564,5.0,109.476943,845.209511,109.476943,,,,,,,,1.0
0.777419,0.926108,0.589218,7.0,113.877563,889.501069,113.877563,,,,,,,,1.0
0.781651,0.95042,0.650557,6.0,111.102733,831.255415,111.102733,,,,,,,,1.0
0.772166,0.822445,0.72388,6.0,109.970756,782.59887,109.970756,,,,,,,,1.0
0.749346,0.780379,0.5,7.0,0.0,0.0,0.0,,,,,,,,1.0
0.688295,0.923326,0.59731,5.0,0.0,0.0,0.0,,,,,,,,1.0
0.714578,0.856536,0.601886,5.0,0.0,0.0,0.0,,,,,,,,1.0
0.781342,1.041528,0.888323,7.0,114.182243,657.447223,114.182243,,,,,,,,1.0
0.754982,1.031863,0.730354,5.0,115.227156,828.740889,115.227156,,,,,,,,1.0
0.800000,0.999615,0.649958,6.0,110.120757,800.750241,110.120757,,,,,,,,1.0
0.779554,1.023685,0.679481,6.0,112.325681,812.348173,112.325681,,,,,,,,1.0
0.749963,0.87844,0.689885,4.0,116.174533,886.350532,116.174533,,,,,,,,1.0
0.721705,0.823085,0.707745,5.0,0.0,0.0,0.0,,,,,,,,1.0
0.800000,0.972099,0.668133,5.0,109.771252,796.054641,109.771252,,,,,,,,1.0
0.763129,1.05,1.034154,5.0,0.0,0.0,0.0,,,,,,,,1.0
0.785956,0.99592,0.946382,6.0,113.041898,631.773563,113.041898,,,,,,,,1.0
0.781706,0.719436,0.560786,4.0,111.871142,947.345061,111.871142,,,,,,,,1.0
0.791723,0.9507,0.730922,4.0,112.149692,771.287567,112.149692,,,,,,,,1.0
0.799661,0.990243,0.71865,5.0,109.507551,754.638133,109.507551,,,,,,,,1.0
0.773338,0.894652,0.676459,4.0,113.781255,851.252313,113.781255,,,,,,,,1.0
0.772415,1.05,0.587094,5.0,118.121339,946.474622,118.121339,,,,,,,,1.0
fitness at iteration,4,,,,,115.210183,,,,,,,,1.0
0.800000,1.019303,1.008119,6.0,112.972736,586.860323,112.972736,,,,,,,,1.0
0.764735,1.05,0.972816,7.0,117.258527,643.806875,117.258527,,,,,,,,1.0
0.766137,0.831978,0.860321,6.0,0.0,0.0,0.0,,,,,,,,1.0
0.770056,0.948444,0.573285,7.0,115.420589,925.959243,115.420589,,,,,,,,1.0
0.782781,0.718092,0.738686,5.0,0.0,0.0,0.0,,,,,,,,1.0
0.787493,1.05,0.685075,5.0,112.376837,807.441345,112.376837,,,,,,,,1.0
0.737026,0.874396,0.901433,6.0,0.0,0.0,0.0,,,,,,,,1.0
0.784246,0.805841,0.823769,6.0,0.0,0.0,0.0,,,,,,,,1.0
0.771645,1.015235,0.727242,4.0,115.347081,812.494697,115.347081,,,,,,,,1.0
0.800000,0.80779,0.646564,6.0,107.365553,794.114355,107.365553,,,,,,,,1.0
0.800000,1.05,0.589218,7.0,113.706192,856.034667,113.706192,,,,,,,,1.0
0.781651,0.95042,0.650557,5.0,111.646987,845.747633,111.646987,,,,,,,,1.0
0.800000,0.822445,0.5,6.0,0.0,0.0,0.0,,,,,,,,1.0
0.785365,0.939053,0.757887,5.0,110.329647,748.485063,110.329647,,,,,,,,1.0
0.788634,0.962423,0.59731,7.0,113.027771,860.904918,113.027771,,,,,,,,1.0
0.761029,0.875728,0.601886,5.0,113.746495,935.644526,113.746495,,,,,,,,1.0
0.773440,1.002195,0.749845,3.0,119.330575,804.186336,119.330575,,,,,,,,1.0
0.767011,1.031863,0.754022,2.0,127.012342,827.350293,127.012342,,,,,,,,1.0
0.800000,1.05,0.717109,6.0,110.310204,745.44833,110.310204,,,,,,,,1.0
0.800000,0.810484,1.08803,6.0,0.0,0.0,0.0,,,,,,,,1.0
0.749963,0.87844,0.689885,3.0,121.356199,905.705191,121.356199,,,,,,,,1.0
0.721705,0.903151,0.803477,5.0,0.0,0.0,0.0,,,,,,,,1.0
0.800000,0.972099,0.668133,5.0,109.771252,796.054641,109.771252,,,,,,,,1.0
0.763129,0.974683,0.680119,7.0,114.741811,828.721742,114.741811,,,,,,,,1.0
0.779299,0.838535,0.946382,5.0,0.0,0.0,0.0,,,,,,,,1.0
0.800000,0.756653,0.5,4.0,0.0,0.0,0.0,,,,,,,,1.0
0.791723,1.05,0.730922,4.0,113.514384,773.743719,113.514384,,,,,,,,1.0
0.750527,0.990243,0.522599,6.0,0.0,0.0,0.0,,,,,,,,1.0
0.773338,1.05,0.668647,4.0,117.148997,866.476153,117.148997,,,,,,,,1.0
0.800000,1.05,0.587094,6.0,113.380284,872.21753,113.380284,,,,,,,,1.0
fitness at iteration,5,,,,,113.380284,,,,,,,,1.0
0.800000,0.95788,1.008119,6.0,0.0,0.0,0.0,,,,,,,,1.0
0.800000,1.05,0.765205,3.0,116.343034,745.212246,116.343034,,,,,,,,1.0
0.769976,0.825809,0.679278,5.0,110.575395,836.472653,110.575395,,,,,,,,1.0
0.800000,0.948444,0.573285,7.0,112.374704,865.056232,112.374704,,,,,,,,1.0
0.792073,0.887863,0.777309,4.0,111.606862,736.108127,111.606862,,,,,,,,1.0
0.787493,1.05,0.685075,5.0,112.376837,807.441345,112.376837,,,,,,,,1.0
0.737026,0.835378,0.730873,6.0,0.0,0.0,0.0,,,,,,,,1.0
0.784246,0.925236,0.823769,6.0,110.413586,696.63088,110.413586,,,,,,,,1.0
0.746631,0.899575,0.727242,6.0,113.821478,830.823651,113.821478,,,,,,,,1.0
0.796801,0.80779,0.594382,6.0,108.802717,849.384642,108.802717,,,,,,,,1.0
0.800000,1.05,0.589218,7.0,113.706192,856.034667,113.706192,,,,,,,,1.0
0.781651,0.95042,0.650557,5.0,111.646987,845.747633,111.646987,,,,,,,,1.0
0.781651,0.822445,0.667812,6.0,109.132967,809.818316,109.132967,,,,,,,,1.0
0.773353,0.939053,1.146769,5.0,0.0,0.0,0.0,,,,,,,,1.0
0.788634,1.028336,0.727849,6.0,111.048563,755.569029,111.048563,,,,,,,,1.0
0.758964,0.856536,0.643147,5.0,112.620198,894.237891,112.620198,,,,,,,,1.0
0.773440,1.041528,0.602981,7.0,115.959221,891.83339,115.959221,,,,,,,,1.0
0.788765,0.967501,0.795884,5.0,110.570175,717.339708,110.570175,,,,,,,,1.0
0.800000,0.863243,0.631476,6.0,108.212248,810.247604,108.212248,,,,,,,,1.0
0.781651,0.810484,0.630288,7.0,111.420674,831.638835,111.420674,,,,,,,,1.0
0.749963,0.818952,0.725942,4.0,115.417241,853.506532,115.417241,,,,,,,,1.0
0.767876,0.724398,0.660523,5.0,0.0,0.0,0.0,,,,,,,,1.0
0.771224,0.972099,0.679978,5.0,112.70242,839.091691,112.70242,,,,,,,,1.0
0.800000,0.974683,0.747491,7.0,110.371767,710.151961,110.371767,,,,,,,,1.0
0.778759,0.99592,0.946382,6.0,113.926222,642.520873,113.926222,,,,,,,,1.0
0.793567,0.989837,0.634926,4.0,114.794401,858.512881,114.794401,,,,,,,,1.0
0.791723,0.9507,0.772892,4.0,112.179271,739.848925,112.179271,,,,,,,,1.0
0.799661,1.005264,0.71865,5.0,109.766087,755.176122,109.766087,,,,,,,,1.0
0.773338,0.894652,0.676459,4.0,113.781255,851.252313,113.781255,,,,,,,,1.0
0.758355,1.05,0.80187,6.0,115.150212,756.338105,115.150212,,,,,,,,1.0
fitness at iteration,6,,,,,113.380284,,,,,,,,1.0
0.800000,1.010277,0.7987,6.0,109.608557,687.512308,109.608557,,,,,,,,1.0
0.800000,0.738049,0.765205,3.0,0.0,0.0,0.0,,,,,,,,1.0
0.769976,0.825809,0.5,5.0,0.0,0.0,0.0,,,,,,,,1.0
0.761198,0.712811,0.5,4.0,0.0,0.0,0.0,,,,,,,,1.0
0.782781,0.767472,0.663503,4.0,110.663624,840.872318,110.663624,,,,,,,,1.0
0.787493,1.05,0.992258,5.0,114.98479,617.052783,114.98479,,,,,,,,1.0
0.785886,0.764221,0.730873,6.0,0.0,0.0,0.0,,,,,,,,1.0
0.800000,0.902194,0.563857,6.0,111.002884,884.678821,111.002884,,,,,,,,1.0
0.746631,0.91244,0.727242,6.0,113.99315,831.12955,113.99315,,,,,,,,1.0
0.757305,0.912013,0.651933,6.0,113.131187,876.520841,113.131187,,,,,,,,1.0
0.800000,1.023083,0.665695,7.0,111.778846,775.957849,111.778846,,,,,,,,1.0
0.781651,0.95042,0.650557,7.0,112.60495,819.169921,112.60495,,,,,,,,1.0
0.781651,1.035737,0.667812,6.0,112.525784,819.946032,112.525784,,,,,,,,1.0
0.800000,0.939053,0.75091,4.0,111.067183,741.688846,111.067183,,,,,,,,1.0
0.788634,1.028336,0.894382,6.0,112.221228,652.10794,112.221228,,,,,,,,1.0
0.758964,0.856536,0.796292,4.0,115.572054,782.23399,115.572054,,,,,,,,1.0
0.695368,0.974424,0.749845,5.0,122.285266,942.740184,122.285266,,,,,,,,1.0
0.704197,0.732346,0.795884,5.0,0.0,0.0,0.0,,,,,,,,1.0
0.800000,0.816518,0.748136,7.0,108.385939,707.376632,108.385939,,,,,,,,1.0
