D,AEdAO,PdD,Z,P_B,n,fitness,t075dD,tmin075dD,tal07R,cavLim,Vtip,Vtipmax,penalty,valid
0.713605,1.001728,0.856579,6.0,92.951712,739.92791,92.951712,,,,,,,,1.0
0.698695,1.028373,0.628246,2.0,110.625012,1049.765858,110.625012,,,,,,,,1.0
0.691490,1.023803,0.63934,5.0,96.199112,988.11231,96.199112,,,,,,,,1.0
0.693221,0.967644,0.919301,3.0,101.146266,772.394692,101.146266,,,,,,,,1.0
0.780711,1.035493,0.660564,2.0,100.477116,825.069933,100.477116,,,,,,,,1.0
0.671961,1.000214,0.717342,5.0,97.021583,952.252333,97.021583,,,,,,,,1.0
0.790169,0.951166,0.767552,2.0,95.429927,711.43917,95.429927,,,,,,,,1.0
0.764153,0.686247,0.948518,7.0,0.0,0.0,0.0,,,,,,,,1.0
0.800000,0.978988,0.985716,7.0,86.017443,539.165642,86.017443,,,,,,,,1.0
0.799267,0.944518,0.921354,7.0,85.146888,564.505889,85.146888,,,,,,,,1.0
0.784541,0.959182,0.646681,6.0,85.554466,761.947349,85.554466,,,,,,,,1.0
0.683869,1.042343,0.5,7.0,0.0,0.0,0.0,,,,,,,,1.0
0.770529,0.666054,0.546919,4.0,86.557855,904.274096,86.557855,,,,,,,,1.0
0.800000,0.897954,0.748382,4.0,85.11027,682.187167,85.11027,,,,,,,,1.0
0.744137,1.042201,0.73727,4.0,91.5654,788.594457,91.5654,,,,,,,,1.0
0.721666,1.05,1.165139,2.0,0.0,0.0,0.0,,,,,,,,1.0
0.691304,1.023544,0.773823,2.0,105.40418,895.677489,105.40418,,,,,,,,1.0
0.729892,0.923451,0.5,6.0,0.0,0.0,0.0,,,,,,,,1.0
0.800000,1.05,1.0671,2.0,91.504401,532.867861,91.504401,,,,,,,,1.0
0.788069,0.904689,0.852996,6.0,84.679819,618.738869,84.679819,,,,,,,,1.0
fitness at iteration,3,,,,,84.679819,,,,,,,,1.0
0.709123,1.05,0.533541,6.0,0.0,0.0,0.0,,,,,,,,1.0
